Discharge	Stage
225.401728	3.23392789651431
51.536576	1.78612794284391
51.536576	1.78612794284391
49.5544	1.69163994586752
49.5544	1.69163994586752
13.875232	1.24663196010778
9.9958304	1.17043196254618
8.778208	1.13690396361907
3.8794016	1.03936796674023
6.937616	1.07289596566733
11.043552	1.17347996244864
16.0273088	1.28930395874227
438.9104	4.1239438680338
438.9104	4.1239438680338
10.5621664	1.21615196108314
7.1641504	1.11556796430183
8.0419712	1.13080796381415
8.0136544	1.13690396361907
5.9748448	1.06070396605747
50.97024	1.85013594079565
38.794016	1.66420794674535
30.015808	1.54228795064679
9.2595936	1.17957596225357
10.9869184	1.19481596176589
5.3235584	1.16128796283879
5.1536576	1.20091196157082
49.5544	1.7190719449897
55.784096	1.83184794138087
11.8364224	1.15823996293632
9.2312768	1.09727996488704
9.3728608	1.09118396508211
7.9003872	1.53314395093939
5.66336	0.966215969081089
9.344544	1.08508796527719
10.1657312	1.11556796430183
62.580128	1.90804793894247
20.104928	1.32283195766938
12.0912736	1.17043196254618
21.3508672	1.36550395630387
99.1088	2.27075992733568
21.8888864	1.36245595640141
22.7383904	1.36550395630387
32.847488	1.53009595103693
34.263328	1.54838395045171
132.522624	2.53593591885005
124.027584	2.52983991904512
79.853376	2.03301593494349
336.96992	3.7337998805184
32.56432	1.54533595054925
28.599968	1.49961595201229
33.413824	1.56362394996403
104.488992	2.31952792577511
15.8857248	1.26491995952256
15.6875072	1.28625595883981
28.599968	1.47827995269504
16.3104768	1.2618719596201
7.78712	1.51790395142707
8.7498912	1.07594396556979
110.718688	2.30428792626279

