Meas number	Date	Decimal date	Q (cfs)	GH (ft)	GH change (ft	Meas type	Width (ft	Area (ft2)	vel (ft/s)	Location	Dist 	Discharge	Stage
763	9/26/10 14:57	2010.74	17400	13.68	-0.03	BRDS	325	3480	5	UPST	800	17400	13.68
765	10/6/10 12:08	2010.77	3170	7.18	-0.02	BRDS	30.8	58	2.19	UPST	800	3170	7.18
764	10/6/10 12:08	2010.77	3170	7.18	-0.02	BRDS	253	1040	2.92	UPST	800	3170	7.18
766	12/27/10 13:35	2010.99	866	4.84	-0.01	WADE	142	255	3.4	DNST	500	866	4.84
767	2/1/11 11:09	2011.09	641	4.62		WADE	126	333	1.93	DNST	300	641	4.62
767	3/25/11 15:11	2011.23	7960	10.61	0.03	BRDS	332	2730	2.91	UPST	300	7960	10.61
768	4/22/11 10:50	2011.31	1820	5.86	0	BRDS	27.7	32.4	2.24	UPST	300	1820	5.86
768	4/22/11 10:50	2011.31	1820	5.86	0	BRDS	255	606	2.87	UPST	300	1820	5.86
770	6/3/11 11:45	2011.42	1750	5.55	0.01	BRDS	24.4	38.6	1.66	UPST	500	1750	5.55
769	6/3/11 11:45	2011.42	1750	5.55	0.01	BRDS	249	556	3.05	UPST	500	1750	5.55
771	8/29/11 13:29	2011.66	490	4.09	0	CWAY	108	520	0.94	ATGA		490	4.09
772	10/6/11 14:48	2011.77	353	3.84	0	CWAY	82.8	409	0.86	ATGA		353	3.84
773	11/23/11 8:02	2011.90	310	3.73	0	CWAY	110	481	0.64	ATGA		310	3.73
774	1/19/12 9:42	2012.05	137	3.41	-0.05	WADE	178	162	0.85	UPST	600	137	3.41
